Date,Reason,Regime,BTC_Risk,Sentiment,Live_Signal,Turnover_%,Fees_USD,Cash_%,Portfolio_Value,Trades
2021-09-13,Initial allocation,Growth↑ Inflation↓,0.5,apathy,None,16.31,39.54,67.38,99960.46,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(16.83), 'fee': np.float64(16.83)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(1.96), 'fee': np.float64(1.96)}, {'asset': 'VNINDEX', 'action': 'BUY', 'delta': np.float64(13.83), 'fee': np.float64(20.75)}]"
2021-09-15,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.5,apathy,None,6.88,19.62,63.73,100145.52,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(8.64), 'fee': np.float64(8.66)}, {'asset': 'VNINDEX', 'action': 'SELL', 'delta': np.float64(-4.38), 'fee': np.float64(10.96)}]"
2021-11-26,"Tier change: DOGE: neutral→bearish, BNB: neutral→bearish",Growth↑ Inflation↑,0.5,apathy,None,1.1,0.0,63.04,102553.43,[]
2021-12-02,Tier change: XAUT: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,13.11,26.31,88.55,102315.78,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-1.21), 'fee': np.float64(1.24)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-24.5), 'fee': np.float64(25.07)}]"
2021-12-11,Tier change: XRP: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,14.66,30.86,59.27,102106.68,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(27.1), 'fee': np.float64(27.68)}, {'asset': 'VNINDEX', 'action': 'BUY', 'delta': np.float64(2.08), 'fee': np.float64(3.18)}]"
2021-12-25,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,0.91,0.0,60.36,102749.47,[]
2021-12-30,"Tier change: LINK: neutral→bearish, ETH: neutral→bearish",Growth↑ Inflation↑,0.5,apathy,None,0.3,0.0,59.39,102938.3,[]
2022-01-04,Tier change: LINK: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,3.73,7.28,66.19,103127.62,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-1.43), 'fee': np.float64(1.48)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-5.62), 'fee': np.float64(5.8)}]"
2022-01-16,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,2.42,0.0,63.76,103105.81,[]
2022-01-21,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,8.59,36.47,73.01,103111.3,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(5.05), 'fee': np.float64(5.2)}, {'asset': 'VNINDEX', 'action': 'SELL', 'delta': np.float64(-12.13), 'fee': np.float64(31.27)}]"
2022-02-09,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,6.45,17.49,60.17,103270.28,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(1.85), 'fee': np.float64(1.91)}, {'asset': 'VNINDEX', 'action': 'BUY', 'delta': np.float64(10.06), 'fee': np.float64(15.58)}]"
2022-02-23,Tier change: DOGE: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,0.43,0.0,61.17,104766.16,[]
2022-03-02,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,7.47,31.02,73.09,104648.61,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(1.19), 'fee': np.float64(1.24)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-3.97), 'fee': np.float64(4.16)}, {'asset': 'VNINDEX', 'action': 'SELL', 'delta': np.float64(-9.79), 'fee': np.float64(25.62)}]"
2022-03-11,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,2.43,0.0,76.88,105519.22,[]
2022-03-18,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,2.75,5.77,75.42,104781.74,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(1.63), 'fee': np.float64(1.7)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-3.88), 'fee': np.float64(4.07)}]"
2022-03-24,"Tier change: BTC: bearish→neutral, XRP: bearish→neutral",Growth↑ Inflation↑,0.5,apathy,None,1.28,0.0,72.52,105349.2,[]
