Date,Reason,Regime,BTC_Risk,Sentiment,Live_Signal,Turnover_%,Fees_USD,Cash_%,Portfolio_Value,Trades
2021-09-13,Initial allocation,Growth↑ Inflation↓,0.5,apathy,None,19.75,39.5,60.5,99960.5,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.5), 'fee': np.float64(12.5)}, {'asset': 'LINK', 'action': 'BUY', 'delta': 18.0, 'fee': 18.0}, {'asset': 'XAUT', 'action': 'BUY', 'delta': 9.0, 'fee': 9.0}]"
2021-09-15,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.5,apathy,None,14.82,30.36,50.5,103523.63,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(9.45), 'fee': np.float64(9.79)}, {'asset': 'LINK', 'action': 'SELL', 'delta': np.float64(-10.87), 'fee': np.float64(11.25)}, {'asset': 'ETH', 'action': 'BUY', 'delta': 9.0, 'fee': np.float64(9.32)}]"
2021-11-26,"Tier change: DOGE: neutral→bearish, BNB: neutral→bearish",Growth↑ Inflation↑,0.5,apathy,None,11.31,24.13,68.5,111265.51,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-5.89), 'fee': np.float64(6.55)}, {'asset': 'LINK', 'action': 'SELL', 'delta': np.float64(-6.49), 'fee': np.float64(7.22)}, {'asset': 'ETH', 'action': 'SELL', 'delta': np.float64(-9.31), 'fee': np.float64(10.36)}]"
2021-12-02,Tier change: XAUT: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,4.66,10.51,75.0,112659.92,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(1.48), 'fee': np.float64(1.67)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-7.85), 'fee': np.float64(8.85)}]"
2021-12-11,Tier change: XRP: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,6.64,14.63,70.0,110244.37,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-3.27), 'fee': np.float64(3.61)}, {'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(10.0), 'fee': np.float64(11.03)}]"
2021-12-25,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,7.87,17.09,55.0,109897.68,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(5.54), 'fee': np.float64(6.09)}, {'asset': 'XRP', 'action': 'BUY', 'delta': 3.33, 'fee': np.float64(3.66)}, {'asset': 'DOGE', 'action': 'BUY', 'delta': 3.33, 'fee': np.float64(3.66)}, {'asset': 'BNB', 'action': 'BUY', 'delta': 3.33, 'fee': np.float64(3.66)}]"
2021-12-30,"Tier change: LINK: neutral→bearish, ETH: neutral→bearish",Growth↑ Inflation↑,0.5,apathy,None,16.97,35.99,90.0,107488.54,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-24.22), 'fee': np.float64(26.05)}, {'asset': 'XRP', 'action': 'SELL', 'delta': np.float64(-3.09), 'fee': np.float64(3.32)}, {'asset': 'DOGE', 'action': 'SELL', 'delta': np.float64(-3.09), 'fee': np.float64(3.33)}, {'asset': 'BNB', 'action': 'SELL', 'delta': np.float64(-3.06), 'fee': np.float64(3.29)}]"
2022-01-04,Tier change: LINK: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,6.54,14.07,81.33,107477.64,"[{'asset': 'LINK', 'action': 'BUY', 'delta': np.float64(6.67), 'fee': np.float64(7.17)}, {'asset': 'DOGE', 'action': 'BUY', 'delta': np.float64(2.0), 'fee': np.float64(2.15)}, {'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-2.42), 'fee': np.float64(2.6)}, {'asset': 'BNB', 'action': 'BUY', 'delta': np.float64(2.0), 'fee': np.float64(2.15)}]"
2022-01-16,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,4.46,9.65,75.67,108263.13,"[{'asset': 'LINK', 'action': 'SELL', 'delta': np.float64(-1.85), 'fee': np.float64(2.01)}, {'asset': 'DOGE', 'action': 'BUY', 'delta': np.float64(1.46), 'fee': np.float64(1.58)}, {'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(1.02), 'fee': np.float64(1.1)}, {'asset': 'BNB', 'action': 'BUY', 'delta': np.float64(4.58), 'fee': np.float64(4.96)}]"
2022-01-21,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,6.37,12.69,90.0,104483.25,"[{'asset': 'LINK', 'action': 'SELL', 'delta': np.float64(-3.77), 'fee': np.float64(3.94)}, {'asset': 'DOGE', 'action': 'SELL', 'delta': np.float64(-2.82), 'fee': np.float64(2.95)}, {'asset': 'BNB', 'action': 'SELL', 'delta': np.float64(-5.56), 'fee': np.float64(5.81)}]"
2022-02-09,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,10.31,20.95,70.0,104705.14,"[{'asset': 'ETH', 'action': 'BUY', 'delta': np.float64(6.67), 'fee': np.float64(6.98)}, {'asset': 'DOGE', 'action': 'BUY', 'delta': np.float64(6.67), 'fee': np.float64(6.98)}, {'asset': 'BNB', 'action': 'BUY', 'delta': np.float64(6.67), 'fee': np.float64(6.98)}]"
