Date,Reason,Regime,BTC_Risk,Sentiment,Live_Signal,Turnover_%,Fees_USD,Cash_%,Portfolio_Value,Trades
2021-09-10,Initial allocation,Growth↑ Inflation↓,0.5,apathy,None,22.5,45.0,55.0,99955.0,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': 22.5, 'fee': 22.5}, {'asset': 'BTC', 'action': 'BUY', 'delta': 22.5, 'fee': 22.5}]"
2021-09-12,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.5,apathy,None,0.42,0.0,55.0,100804.88,[]
2021-11-23,Tier change: BNB: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,4.79,10.64,55.0,111125.53,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(2.28), 'fee': np.float64(2.53)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-7.3), 'fee': np.float64(8.11)}]"
2021-11-28,Tier change: LINK: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,1.45,0.0,57.5,112024.58,[]
2021-12-06,Tier change: ETH: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,12.42,27.59,80.0,110992.66,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-22.41), 'fee': np.float64(24.88)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-2.44), 'fee': np.float64(2.71)}]"
2021-12-11,Tier change: XRP: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,12.85,27.53,55.0,110087.16,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(27.53)}]"
2021-12-25,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,3.35,6.89,50.0,110017.36,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(6.26), 'fee': np.float64(6.89)}]"
2021-12-30,"Tier change: LINK: neutral→bearish, ETH: neutral→bearish",Growth↑ Inflation↑,0.5,apathy,None,2.42,0.0,55.0,108779.44,[]
2022-01-04,Tier change: LINK: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,14.74,31.87,80.0,108064.63,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-5.89), 'fee': np.float64(6.36)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-23.59), 'fee': np.float64(25.5)}]"
2022-01-16,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,7.47,16.19,65.0,108302.37,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(2.44), 'fee': np.float64(2.65)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.5), 'fee': np.float64(13.54)}]"
2022-01-21,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,5.78,12.19,75.0,105411.55,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(1.69), 'fee': np.float64(1.78)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-9.87), 'fee': np.float64(10.4)}]"
2022-02-09,Tier change: BNB: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,6.28,13.2,62.5,105585.13,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.5), 'fee': np.float64(13.2)}]"
2022-02-23,Tier change: DOGE: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,6.02,12.67,75.0,105126.02,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-1.16), 'fee': np.float64(1.21)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-10.89), 'fee': np.float64(11.45)}]"
2022-03-02,"Tier change: DOGE: bearish→neutral, ETH: bearish→neutral",Growth↑ Inflation↑,0.5,apathy,None,7.5,15.79,65.0,105216.55,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-2.5), 'fee': np.float64(2.63)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.5), 'fee': np.float64(13.15)}]"
2022-03-11,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,2.2,0.0,67.5,104896.73,[]
2022-03-18,Tier change: ETH: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,7.68,16.14,55.0,104988.65,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-2.55), 'fee': np.float64(2.67)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.82), 'fee': np.float64(13.46)}]"
2022-03-24,"Tier change: LINK: bearish→neutral, BTC: bearish→neutral, XRP: bearish→neutral",Growth↑ Inflation↑,0.5,apathy,None,1.56,0.0,52.5,106472.89,[]
2022-04-05,Tier change: VNINDEX: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,2.64,5.72,52.5,108229.18,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(3.13), 'fee': np.float64(3.39)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-2.15), 'fee': np.float64(2.33)}]"
2022-04-11,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,12.11,25.58,75.0,105565.73,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(1.54), 'fee': np.float64(1.63)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-22.68), 'fee': np.float64(23.95)}]"
2022-04-18,Tier change: XRP: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,11.37,24.09,57.5,105969.48,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-2.73), 'fee': np.float64(2.9)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(20.0), 'fee': np.float64(21.2)}]"
2022-04-25,Tier change: BTC: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,10.82,22.62,80.0,104494.02,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-1.98), 'fee': np.float64(2.07)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-19.66), 'fee': np.float64(20.55)}]"
2022-05-04,Tier change: XAUT: neutral→bearish,Growth↑ Inflation↑,0.5,apathy,None,22.41,46.79,75.0,104344.84,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-19.82), 'fee': np.float64(20.69)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(26.1)}]"
2022-05-11,Tier change: BNB: neutral→bearish,Growth↑ Inflation↑,0.5,panic,None,9.13,17.5,100.0,95810.43,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-18.26), 'fee': np.float64(17.5)}]"
