Date,Ticker,Action,Weight_%,Price
2015-06,UNH,BUY,1.72,100.33
2015-06,META,BUY,11.37,78.57
2015-06,PLD,BUY,21.37,28.63
2015-06,O,BUY,1.7,26.6
2015-06,KO,BUY,7.44,28.99
2015-06,TXN,BUY,1.79,41.61
2015-06,KLAC,BUY,13.34,48.6
2015-06,ITW,BUY,6.81,72.91
2015-06,CCI,BUY,7.21,51.57
2015-06,MAR,BUY,3.72,70.05
2015-06,SBUX,BUY,7.1,41.56
2015-06,BKNG,BUY,1.19,1150.55
2015-06,APD,BUY,10.7,104.37
2015-06,NFLX,BUY,4.54,8.92
2015-09,ABT,BUY,13.44,37.11
2015-09,AMZN,BUY,4.78,25.64
2015-09,INTU,BUY,23.08,78.87
2015-09,DIS,BUY,5.36,93.31
2015-09,MPC,BUY,7.93,33.95
2015-09,ABBV,BUY,5.65,40.48
2015-09,MS,BUY,17.55,25.69
2015-09,UNH,SELL,0.0,96.97
2015-09,PLD,SELL,0.0,27.73
2015-09,O,SELL,0.0,26.41
2015-09,APD,SELL,0.0,99.8
2015-09,KO,SELL,0.0,28.06
2015-09,TXN,SELL,0.0,35.84
2015-09,KLAC,SELL,0.0,41.17
2015-09,ITW,SELL,0.0,66.03
2015-09,CCI,SELL,0.0,53.26
2015-09,MAR,SELL,0.0,63.66
2015-09,SBUX,SELL,0.0,43.9
2015-09,BKNG,SELL,0.0,1225.74
2015-09,META,SELL,0.0,88.73
2015-09,NFLX,SELL,0.0,11.5
2015-12,ED,BUY,14.65,42.57
2015-12,EA,BUY,18.76,65.85
2015-12,SYK,BUY,18.41,85.88
2015-12,ORLY,BUY,9.4,17.59
2015-12,NSC,BUY,25.2,76.06
2015-12,SBUX,BUY,2.37,49.39
2015-12,SPG,BUY,1.85,109.63
2015-12,PEG,BUY,7.34,27.19
2015-12,HAL,BUY,2.01,32.53
2015-12,ABT,SELL,0.0,37.02
2015-12,AMZN,SELL,0.0,33.24
2015-12,INTU,SELL,0.0,92.47
2015-12,DIS,SELL,0.0,103.92
2015-12,MPC,SELL,0.0,42.15
2015-12,ABBV,SELL,0.0,38.06
2015-12,MS,SELL,0.0,25.7
2016-03,PNC,BUY,1.79,58.78
2016-03,CRM,BUY,27.76,66.94
2016-03,ECL,BUY,27.76,91.7
2016-03,EOG,BUY,7.78,47.4
2016-03,ICE,BUY,25.47,41.86
2016-03,USB,BUY,2.39,26.82
2016-03,TMO,BUY,4.58,125.42
2016-03,AVGO,BUY,2.47,10.24
2016-03,ED,SELL,0.0,48.46
2016-03,EA,SELL,0.0,62.4
2016-03,SYK,SELL,0.0,89.29
2016-03,ORLY,SELL,0.0,17.35
2016-03,NSC,SELL,0.0,58.97
2016-03,SBUX,SELL,0.0,46.99
2016-03,SPG,SELL,0.0,112.61
2016-03,PEG,SELL,0.0,29.97
2016-03,HAL,SELL,0.0,26.47
2016-06,UNH,BUY,14.29,113.47
2016-06,ED,BUY,7.69,51.18
2016-06,MO,BUY,3.86,32.94
2016-06,AZO,BUY,14.61,762.2
2016-06,UNP,BUY,8.43,67.41
2016-06,CI,BUY,15.71,116.45
2016-06,HD,BUY,14.53,104.0
2016-06,PSA,BUY,1.89,170.21
2016-06,PEG,BUY,4.94,31.73
2016-06,META,BUY,1.46,117.88
2016-06,PM,BUY,6.94,60.14
2016-06,NVDA,BUY,5.64,1.14
2016-06,PNC,SELL,0.0,65.27
2016-06,CRM,SELL,0.0,82.71
2016-06,ECL,SELL,0.0,105.19
2016-06,EOG,SELL,0.0,59.69
2016-06,ICE,SELL,0.0,47.76
2016-06,USB,SELL,0.0,30.0
2016-06,TMO,SELL,0.0,147.5
2016-06,AVGO,SELL,0.0,11.84
2016-09,BMY,BUY,12.43,41.23
2016-09,QCOM,BUY,3.7,48.18
2016-09,O,BUY,8.84,40.51
2016-09,PSX,BUY,3.03,54.24
2016-09,AMAT,BUY,1.45,26.79
2016-09,DHR,BUY,17.57,68.87
2016-09,VMC,BUY,6.33,104.7
2016-09,EQIX,BUY,9.36,305.39
2016-09,UNH,SELL,0.0,116.01
2016-09,MO,SELL,0.0,34.5
2016-09,UNP,SELL,0.0,77.0
2016-09,CI,SELL,0.0,116.59
2016-09,PSA,SELL,0.0,151.36
2016-09,PEG,SELL,0.0,30.6
2016-09,META,SELL,0.0,125.14
2016-09,AZO,TRIM,8.11,741.8
2016-09,HD,TRIM,6.56,106.12
2016-12,MO,BUY,15.6,33.69
2016-12,PEP,BUY,14.4,75.0
2016-12,TRV,BUY,6.12,92.27
2016-12,AMT,BUY,1.04,81.23
2016-12,META,BUY,28.43,117.5
2016-12,AMGN,BUY,3.38,108.36
2016-12,TMO,BUY,9.59,136.44
2016-12,MS,BUY,10.3,31.75
2016-12,MU,BUY,1.94,19.06
2016-12,BMY,SELL,0.0,40.82
2016-12,ED,SELL,0.0,49.61
2016-12,O,SELL,0.0,34.49
2016-12,PSX,SELL,0.0,57.91
2016-12,AZO,SELL,0.0,783.18
2016-12,DHR,SELL,0.0,66.23
2016-12,AMAT,SELL,0.0,29.01
2016-12,VMC,SELL,0.0,115.73
2016-12,HD,SELL,0.0,102.91
2016-12,PM,SELL,0.0,54.91
2016-12,EQIX,SELL,0.0,281.97
2016-12,NVDA,SELL,0.0,2.27
2016-12,QCOM,ADD,9.2,52.49
2017-03,PNC,BUY,7.61,94.16
2017-03,UPS,BUY,9.53,74.53
2017-03,PSX,BUY,13.87,54.92
2017-03,SYY,BUY,9.22,41.83
2017-03,UNP,BUY,1.77,88.03
2017-03,OXY,BUY,12.39,50.92
2017-03,VMC,BUY,20.47,111.26
2017-03,CAT,BUY,2.28,79.25
2017-03,LRCX,BUY,5.25,10.44
2017-03,META,SELL,0.0,134.48
2017-03,MO,SELL,0.0,39.84
2017-03,QCOM,SELL,0.0,43.85
2017-03,PEP,SELL,0.0,83.31
2017-03,TRV,SELL,0.0,100.08
2017-03,AMT,SELL,0.0,91.67
2017-03,AMGN,SELL,0.0,133.67
2017-03,TMO,SELL,0.0,153.71
2017-03,MS,TRIM,5.79,35.22
2017-03,MU,ADD,11.82,22.87
2017-06,AAPL,BUY,5.5,35.33
2017-06,NUE,BUY,4.52,47.99
2017-06,EA,BUY,7.5,110.09
2017-06,DE,BUY,3.9,107.23
2017-06,AMAT,BUY,1.31,41.58
2017-06,ELV,BUY,3.49,161.59
2017-06,MCD,BUY,6.6,122.14
2017-06,WM,BUY,11.31,62.26
2017-06,BKNG,BUY,5.61,1842.67
2017-06,TJX,BUY,6.58,33.14
2017-06,NFLX,BUY,8.39,16.31
2017-06,CSCO,BUY,8.04,24.25
2017-06,PNC,SELL,0.0,88.26
2017-06,UPS,SELL,0.0,75.25
2017-06,SYY,SELL,0.0,43.57
2017-06,UNP,SELL,0.0,90.47
2017-06,OXY,SELL,0.0,46.32
2017-06,VMC,SELL,0.0,115.22
2017-06,CAT,SELL,0.0,87.16
2017-06,MS,SELL,0.0,32.33
2017-06,LRCX,ADD,8.65,13.72
2017-06,MU,TRIM,6.5,30.02
2017-09,EMR,BUY,3.72,47.78
2017-09,ETN,BUY,16.86,60.2
2017-09,TRV,BUY,7.61,100.35
2017-09,AMD,BUY,2.89,13.0
2017-09,ITW,BUY,9.42,112.21
2017-09,CB,BUY,10.52,121.63
2017-09,VRTX,BUY,2.71,160.54
2017-09,NVDA,BUY,4.9,4.18
2017-09,AAPL,SELL,0.0,38.08
2017-09,EA,SELL,0.0,118.02
2017-09,DE,SELL,0.0,102.01
2017-09,PSX,SELL,0.0,59.85
2017-09,ELV,SELL,0.0,174.33
2017-09,MCD,SELL,0.0,130.31
2017-09,WM,SELL,0.0,66.24
2017-09,TJX,SELL,0.0,31.98
2017-09,CSCO,SELL,0.0,25.01
2017-09,MU,SELL,0.0,31.19
2017-09,BKNG,ADD,20.66,1818.12
2017-12,VLO,BUY,14.34,61.31
2017-12,EA,BUY,4.97,103.31
2017-12,BA,BUY,6.52,262.38
2017-12,ELV,BUY,10.16,209.7
2017-12,FCX,BUY,3.5,12.59
2017-12,ABBV,BUY,12.12,68.29
2017-12,CAT,BUY,4.75,118.23
2017-12,ADI,BUY,6.21,73.63
2017-12,ISRG,BUY,8.03,133.26
2017-12,NUE,SELL,0.0,48.14
2017-12,EMR,SELL,0.0,52.88
2017-12,AMAT,SELL,0.0,48.05
2017-12,TRV,SELL,0.0,112.95
2017-12,ITW,SELL,0.0,138.85
2017-12,CB,SELL,0.0,131.49
2017-12,VRTX,SELL,0.0,144.29
2017-12,NFLX,SELL,0.0,18.76
2017-12,AMD,SELL,0.0,10.89
2017-12,ETN,TRIM,7.46,65.79
2017-12,BKNG,TRIM,7.06,1707.81
2018-03,UNH,BUY,5.89,197.46
2018-03,BLK,BUY,4.7,447.3
2018-03,UPS,BUY,11.71,75.85
2018-03,O,BUY,9.58,32.34
2018-03,AMZN,BUY,7.86,75.62
2018-03,D,BUY,12.57,51.35
2018-03,PEP,BUY,8.28,85.14
2018-03,NSC,BUY,3.25,117.75
2018-03,VMC,BUY,6.47,109.5
2018-03,CMCSA,BUY,4.68,27.49
2018-03,CB,BUY,6.05,123.28
2018-03,VLO,SELL,0.0,65.3
2018-03,EA,SELL,0.0,120.16
2018-03,NVDA,SELL,0.0,5.98
2018-03,ELV,SELL,0.0,210.71
2018-03,FCX,SELL,0.0,16.83
2018-03,BKNG,SELL,0.0,1996.74
2018-03,CAT,SELL,0.0,130.13
2018-03,ETN,SELL,0.0,68.76
2018-03,LRCX,SELL,0.0,17.1
2018-03,ISRG,SELL,0.0,142.15
2018-03,ABBV,TRIM,6.4,82.2
2018-06,GOOGL,BUY,3.35,54.55
2018-06,DHR,BUY,6.91,84.94
2018-06,SCHW,BUY,1.04,49.83
2018-06,ELV,BUY,12.08,198.85
2018-06,KLAC,BUY,10.21,100.55
2018-06,ICE,BUY,23.09,63.99
2018-06,FCX,BUY,3.82,15.33
2018-06,T,BUY,16.37,13.99
2018-06,FDX,BUY,13.51,216.75
2018-06,NFLX,BUY,4.33,35.16
2018-06,NVDA,BUY,2.64,6.24
2018-06,VLO,BUY,2.66,88.33
2018-06,UNH,SELL,0.0,211.56
2018-06,BLK,SELL,0.0,437.23
2018-06,UPS,SELL,0.0,85.07
2018-06,O,SELL,0.0,35.51
2018-06,AMZN,SELL,0.0,81.48
2018-06,D,SELL,0.0,45.01
2018-06,PEP,SELL,0.0,78.36
2018-06,BA,SELL,0.0,337.26
2018-06,NSC,SELL,0.0,129.0
2018-06,VMC,SELL,0.0,119.09
2018-06,CMCSA,SELL,0.0,23.81
2018-06,CB,SELL,0.0,114.11
2018-06,ABBV,SELL,0.0,70.94
2018-06,ADI,SELL,0.0,83.97
2018-09,NUE,BUY,3.22,53.29
2018-09,SO,BUY,12.45,32.12
2018-09,BA,BUY,1.38,329.93
2018-09,SYK,BUY,6.66,156.35
2018-09,ORLY,BUY,11.0,22.36
2018-09,EOG,BUY,5.24,88.08
2018-09,NEE,BUY,8.18,35.11
2018-09,VMC,BUY,11.45,103.52
2018-09,ADBE,BUY,3.51,263.51
2018-09,TJX,BUY,13.26,49.52
2018-09,MU,BUY,14.38,51.24
2018-09,GOOGL,SELL,0.0,61.09
2018-09,DHR,SELL,0.0,88.72
2018-09,SCHW,SELL,0.0,45.58
2018-09,ELV,SELL,0.0,238.53
2018-09,KLAC,SELL,0.0,103.9
2018-09,ICE,SELL,0.0,69.03
2018-09,T,SELL,0.0,14.11
2018-09,FDX,SELL,0.0,212.81
2018-09,NFLX,SELL,0.0,36.77
2018-09,NVDA,SELL,0.0,6.95
2018-09,FCX,ADD,7.93,12.78
2018-12,AAPL,BUY,30.0,42.26
2018-12,MO,BUY,13.84,31.31
2018-12,LLY,BUY,8.87,107.22
2018-12,MPC,BUY,1.76,51.4
2018-12,MRK,BUY,11.55,60.08
2018-12,ETN,BUY,14.23,66.7
2018-12,ISRG,BUY,9.57,176.96
2018-12,NUE,SELL,0.0,51.82
